date,Indice des actions,Température,Emission CO2,Emission CO2.1,Chinese Yuan to US $,Taux d'intérêt,Prix du pétrole
2019-01-01 00:00:00,2611.38,2.79,32.3444238,32344423.8,6.8785,3.273,50.57
2019-01-02 00:00:00,2581.37,3.23,31.7914663,31791466.3,6.862,3.203,54.06
2019-01-03 00:00:00,2580.43,6.2,30.7118639,30711863.900000002,6.87205,3.191,53.23
2019-01-04 00:00:00,2633.35,8.87,31.512141,31512141,6.8692,3.198,55.64
2019-01-07 00:00:00,2652.396,6.64,31.356248299999997,31356248.299999997,6.851,3.169,57.1
2019-01-08 00:00:00,2645.47,5.91,31.8499535,31849953.5,6.8532,3.148,56.91
2019-01-09 00:00:00,2664.22,4.58,31.9439628,31943962.8,6.8165,3.13,59.46
2019-01-10 00:00:00,2654.53,6.45,32.3079758,32307975.8,6.7885,3.14,60.47
2019-01-11 00:00:00,2674.18,7.17,32.655997,32655997,6.763,3.138,59.24
2019-01-14 00:00:00,2655.23,6.65,30.875294899999997,30875294.899999995,6.76805,3.142,58.8
2019-01-15 00:00:00,2691.48,6.37,31.6980493,31698049.3,6.761,3.151,58.65
2019-01-16 00:00:00,2691.58,2.77,31.7295751,31729575.1,6.75675,3.113,59.81
2019-01-17 00:00:00,2680.26,2.9,31.667543,31667543,6.7764,3.091,59.85
2019-01-18 00:00:00,2718.43,4.74,31.2231232,31223123.2,6.77895,3.118,62.04
2019-01-21 00:00:00,2733.65,7.66,30.8959495,30895949.5,6.798,3.11,62.18
2019-01-22 00:00:00,2701.32,5.01,30.0840129,30084012.900000002,6.808,3.13,60.9
2019-01-23 00:00:00,2702.69,6.18,29.1543231,29154323.099999998,6.792,3.148,61.05
2019-01-24 00:00:00,2713.94,5.87,28.2087295,28208729.5,6.7885,3.146,61.09
2019-01-25 00:00:00,2724.5,6.25,27.0698172,27069817.2,6.74725,3.157,61.49
2019-01-28 00:00:00,2719.5,5.87,25.2507197,25250719.700000003,6.7453,3.159,59.71
2019-01-29 00:00:00,2716.67,7.24,24.0174824,24017482.4,6.7329,3.156,60.98
2019-01-30 00:00:00,2697.1,9.88,23.216493800000002,23216493.8,6.7165,3.144,61.89
2019-01-31 00:00:00,2706.59,5.13,23.0191093,23019109.3,6.7008,3.13,62.46
2019-02-01 00:00:00,2741.84,2.58,24.1882912,24188291.2,6.7448,3.145,61.86
